Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,1,7,7,9,4,18,34,50,35,69,46,58,42,59,38,133,65,123,31
01:00,0,0,13,9,6,3,5,19,29,37,33,31,21,17,43,39,98,63,133,24
02:00,0,0,7,11,5,0,2,20,13,11,50,27,24,19,39,23,52,56,116,38
03:00,0,0,7,3,4,0,0,18,6,6,43,58,27,5,24,21,34,55,72,37
04:00,0,2,2,6,3,1,0,21,4,17,29,40,51,31,11,25,24,32,42,34
05:00,0,0,2,2,0,0,0,18,7,24,29,46,71,23,37,20,18,22,29,15
06:00,0,0,4,7,3,1,11,27,4,19,23,34,73,26,4,24,18,16,17,14
07:00,0,0,5,14,6,8,15,18,11,44,45,44,95,14,25,36,28,9,13,5
08:00,0,2,2,6,10,3,9,15,30,49,92,57,94,39,16,19,47,8,17,8
09:00,0,0,5,16,13,6,5,46,34,54,62,99,90,39,24,22,53,15,18,17
10:00,0,1,4,20,4,0,16,24,35,41,64,75,93,83,29,24,49,16,28,8
11:00,0,1,12,18,9,3,5,19,10,25,72,92,90,27,24,18,85,14,28,25
12:00,0,1,11,14,7,7,17,8,7,24,69,66,115,40,31,24,72,15,31,14
13:00,0,4,11,20,12,6,12,18,12,17,49,82,98,50,42,22,66,20,49,35
14:00,0,1,13,30,9,17,14,11,12,24,35,65,105,32,42,17,64,25,66,35
15:00,0,0,10,31,13,7,22,23,6,34,25,95,92,39,28,15,79,44,90,68
16:00,0,0,18,35,14,19,9,21,18,21,50,77,79,39,36,31,108,50,119,74
17:00,0,1,8,19,14,15,6,19,22,21,71,116,72,24,27,24,95,67,112,65
18:00,0,0,9,18,17,19,6,16,29,20,75,102,105,30,19,25,155,69,76,41
19:00,0,0,10,19,17,15,6,44,37,38,105,90,74,44,30,22,144,67,100,18
20:00,0,0,14,29,18,53,13,68,59,79,111,109,70,46,50,27,104,49,51,7
21:00,0,2,8,29,19,71,9,79,78,140,167,111,74,44,43,21,136,30,93,9
22:00,0,2,8,24,18,33,15,69,110,108,148,95,57,35,28,24,124,33,73,14
23:00,0,0,7,16,10,19,24,60,74,83,108,40,49,60,22,24,147,30,91,34
