Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,2,21,32,36,20,14,37,19,9,12,8,2,7
01:00,0,0,0,0,0,0,0,3,9,18,22,7,13,9,8,5,4,3,2,6
02:00,0,0,0,0,0,0,0,1,1,9,14,7,0,2,2,2,0,0,2,1
03:00,0,0,0,0,0,0,0,0,2,4,5,1,1,0,3,3,0,1,2,1
04:00,0,0,0,0,0,0,0,0,0,7,8,2,0,2,0,5,1,1,0,1
05:00,0,0,0,0,0,0,0,0,6,10,12,1,1,0,1,5,1,5,1,1
06:00,0,0,0,0,0,0,0,1,5,14,14,2,3,2,3,2,5,6,4,2
07:00,0,0,0,0,0,0,0,0,1,13,17,0,10,4,4,6,8,9,5,5
08:00,0,0,0,0,0,0,0,0,9,18,20,7,24,8,8,11,15,12,10,11
09:00,0,0,0,0,0,0,0,5,14,40,36,13,30,20,24,23,26,23,18,31
10:00,0,0,0,0,0,0,0,9,27,72,50,15,39,23,37,33,57,30,20,25
11:00,0,0,0,0,0,0,0,6,52,65,65,20,42,33,37,36,43,43,23,44
12:00,0,0,0,0,0,0,0,15,21,60,72,20,46,49,42,31,73,62,31,36
13:00,0,0,0,0,0,0,0,8,34,70,60,28,41,38,30,25,41,43,29,43
14:00,0,0,0,0,0,0,0,8,51,79,83,48,50,57,44,25,55,35,34,48
15:00,0,0,0,0,0,0,0,8,35,74,63,36,43,56,52,46,50,49,35,46
16:00,0,0,0,0,0,0,0,7,42,75,55,35,40,48,33,32,52,51,33,35
17:00,0,0,0,0,0,0,0,8,26,66,48,24,36,50,36,11,30,31,38,30
18:00,0,0,0,0,0,0,0,8,47,62,57,28,37,36,25,33,26,23,19,22
19:00,0,0,0,0,0,0,0,13,28,77,48,22,34,26,24,23,35,23,17,20
20:00,0,0,0,0,0,0,0,5,33,61,44,30,40,47,42,31,29,24,15,19
21:00,0,0,0,0,0,0,0,6,31,63,44,28,47,32,37,36,28,25,16,15
22:00,0,0,0,0,0,0,0,8,22,54,40,25,38,51,32,34,23,21,10,12
23:00,0,0,0,0,0,0,0,4,16,41,50,35,29,44,36,30,17,9,14,13
