Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,85,77,33,62,18,48,44,58,59,61,58,56,33,44,38,40,24,33,38,26
01:00,44,33,23,24,13,35,41,70,55,59,43,46,22,44,38,34,25,30,41,26
02:00,18,12,5,21,3,12,14,58,43,37,40,34,19,44,37,48,36,47,33,45
03:00,9,6,5,10,1,2,16,46,21,23,29,29,21,36,35,39,38,36,44,58
04:00,11,1,8,2,1,2,6,67,40,36,43,25,37,41,46,71,43,37,88,77
05:00,6,3,7,3,1,0,16,59,42,44,60,53,52,54,69,83,80,81,132,52
06:00,7,19,12,4,1,0,17,55,60,62,59,91,107,76,95,116,110,150,171,87
07:00,17,17,31,3,8,9,28,93,72,73,103,108,155,157,132,141,152,186,188,108
08:00,43,48,31,20,19,10,47,109,77,85,91,130,134,163,140,151,159,188,187,121
09:00,68,61,46,53,39,34,77,122,82,74,88,115,132,147,143,151,202,179,197,121
10:00,78,107,84,73,75,43,86,110,78,84,100,115,157,145,129,164,168,184,172,133
11:00,117,103,123,96,100,70,101,116,108,90,129,115,161,191,170,162,152,163,227,93
12:00,135,125,144,143,96,95,142,145,128,86,125,106,157,202,169,126,154,164,148,109
13:00,138,173,147,157,142,111,135,133,104,92,101,106,141,188,144,131,154,156,143,103
14:00,154,128,162,146,144,104,110,133,108,94,113,92,106,167,143,121,149,148,154,88
15:00,160,138,157,162,129,90,100,130,80,55,94,91,212,149,109,112,121,102,108,63
16:00,142,174,154,173,130,134,109,87,78,54,83,117,91,92,89,76,94,76,100,82
17:00,162,159,174,185,147,117,129,108,85,56,94,84,71,147,82,71,85,59,73,42
18:00,154,150,160,147,111,95,109,83,82,57,77,71,57,120,79,61,53,46,63,38
19:00,152,132,133,120,101,80,93,72,51,50,61,79,66,105,62,52,28,44,53,45
20:00,169,117,107,123,129,71,101,71,39,24,53,42,52,59,54,41,51,47,54,30
21:00,105,146,116,127,107,67,112,36,19,19,38,36,40,32,39,38,49,49,53,32
22:00,152,153,110,126,71,91,93,22,30,25,23,35,30,39,36,53,28,36,57,31
23:00,143,112,75,99,49,61,72,46,64,28,40,40,34,27,44,48,24,36,40,34
